tDocumento;tItem;tCodigoPedido;tCodigoProducto;nPrecioNeto;nPrecioImpuesto1;nPrecioImpuesto2;nPrecioImpuesto3;nPrecioVenta;nPrecioOficial;nRecargo;nDescuento;nCantidad;nImpuesto1;nImpuesto2;nImpuesto3;nVenta;tGuia;nDescuentoNeto;nLey1;tAplicaExoneracion;tAplicaInafectacion;tDocumentoAnticipo
T00014000000246;1;1800022398;143;3,68852459;0,663934426;0,147540984;0;4,5;6;0;1,5;1;0,663934426;0,147540984;0;4,5;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000245;1;1800022399;104;3,278688525;0,590163934;0,131147541;0;4;4;0;0;1;0,590163934;0,131147541;0;4;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000244;1;1800022423;260;9,836065574;1,770491803;0,393442623;0;12;12;0;0;1;1,770491803;0,393442623;0;12;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000243;1;1800022402;59;24,59016393;4,426229508;0,983606557;0;30;30;0;0;1;4,426229508;0,983606557;0;30;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000242;2;1800022412;200;8,196721311;1,475409836;0,327868852;0;10;10;0;0;1;1,475409836;0,327868852;0;10;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000242;1;1800022412;93;11,47540984;2,06557377;0,459016393;0;14;14;0;0;1;2,06557377;0,459016393;0;14;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000241;1;1800022422;148;4,918032787;0,885245902;0,196721311;0;6;6;0;0;2;1,770491803;0,393442623;0;12;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000240;2;1800022401;208;5,737704918;1,032786885;0,229508197;0;7;7;0;0;1;1,032786885;0,229508197;0;7;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000240;1;1800022401;233;9,836065574;1,770491803;0,393442623;0;12;12;0;0;1;1,770491803;0,393442623;0;12;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000239;2;1800022419;97;9,836065574;1,770491803;0,393442623;0;12;12;0;0;1;1,770491803;0,393442623;0;12;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000239;1;1800022419;204;5,737704918;1,032786885;0,229508197;0;7;7;0;0;1;1,032786885;0,229508197;0;7;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000238;3;1800022384;298;6,557377049;1,180327869;0,262295082;0;8;8;0;0;1;1,180327869;0,262295082;0;8;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000238;2;1800022384;259;12,29508197;2,213114754;0,491803279;0;15;15;0;0;1;2,213114754;0,491803279;0;15;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000238;1;1800022384;334;18,03278689;3,245901639;0,721311475;0;22;22;0;0;1;3,245901639;0,721311475;0;22;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000237;4;1800022400;265;6,557377049;1,180327869;0,262295082;0;8;8;0;0;1;1,180327869;0,262295082;0;8;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000237;3;1800022400;210;6,557377049;1,180327869;0,262295082;0;8;8;0;0;1;1,180327869;0,262295082;0;8;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000237;2;1800022400;233;9,836065574;1,770491803;0,393442623;0;12;12;0;0;1;1,770491803;0,393442623;0;12;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000237;1;1800022400;199;8,196721311;1,475409836;0,327868852;0;10;10;0;0;1;1,475409836;0,327868852;0;10;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000236;1;1800022418;103;5,737704918;1,032786885;0,229508197;0;7;7;0;0;2;2,06557377;0,459016393;0;14;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000235;2;1800022417;370;9,836065574;1,770491803;0,393442623;0;12;12;0;0;2;3,540983607;0,786885246;0;24;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000235;1;1800022417;148;4,918032787;0,885245902;0,196721311;0;6;6;0;0;1;0,885245902;0,196721311;0;6;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000234;5;1800022416;318;9,836065574;1,770491803;0,393442623;0;12;12;0;0;1;1,770491803;0,393442623;0;12;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000234;4;1800022416;104;3,278688525;0,590163934;0,131147541;0;4;4;0;0;1;0,590163934;0,131147541;0;4;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000234;3;1800022416;104;3,278688525;0,590163934;0,131147541;0;4;4;0;0;1;0,590163934;0,131147541;0;4;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000234;2;1800022416;305;9,836065574;1,770491803;0,393442623;0;12;12;0;0;1;1,770491803;0,393442623;0;12;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000234;1;1800022416;261;14,75409836;2,655737705;0,590163934;0;18;18;0;0;1;2,655737705;0,590163934;0;18;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000233;1;1800022415;208;5,737704918;1,032786885;0,229508197;0;7;7;0;0;1;1,032786885;0,229508197;0;7;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000232;1;1800022406;210;6,557377049;1,180327869;0,262295082;0;8;8;0;0;1;1,180327869;0,262295082;0;8;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000231;1;1800022403;96;9,836065574;1,770491803;0,393442623;0;12;12;0;0;1;1,770491803;0,393442623;0;12;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000230;1;1800022414;87;61,47540984;11,06557377;2,459016393;0;75;75;0;0;1;11,06557377;2,459016393;0;75;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000229;1;1800022411;250;20,49180328;3,68852459;0,819672131;0;25;25;0;0;1;3,68852459;0,819672131;0;25;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000228;1;1800022410;93;11,47540984;2,06557377;0,459016393;0;14;14;0;0;1;2,06557377;0,459016393;0;14;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000227;1;1800022409;201;8,196721311;1,475409836;0,327868852;0;10;10;0;0;1;1,475409836;0,327868852;0;10;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000226;3;1700008974;148;4,237288136;0,762711864;0;0;5;5;0;0;1;0,762711864;0;0;5;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000226;2;1700008974;207;5,93220339;1,06779661;0;0;7;7;0;0;1;1,06779661;0;0;7;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000226;1;1700008974;104;3,389830508;0,610169492;0;0;4;4;0;0;1;0,610169492;0;0;4;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000225;4;1700008970;261;15,25423729;2,745762712;0;0;18;18;0;0;1;2,745762712;0;0;18;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000225;3;1700008970;265;5,084745763;0,915254237;0;0;6;6;0;0;1;0,915254237;0;0;6;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000225;2;1700008970;182;15,25423729;2,745762712;0;0;18;18;0;0;1;2,745762712;0;0;18;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000225;1;1700008970;217;6,779661017;1,220338983;0;0;8;8;0;0;1;1,220338983;0;0;8;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000224;2;1700008978;207;5,93220339;1,06779661;0;0;7;7;0;0;1;1,06779661;0;0;7;NULL;NULL;NULL;NULL;NULL;NULL
