tCodigoPedido;tItem;tItemCombo;tProducto;tProductoCombo;nCantidad;tCodigoGrupo;tCodigoSubGrupo;nPrecioNeto;nImpuesto1;nImpuesto2;nImpuesto3;nVenta;nInsumo;nGasto;nManoObra;lImprimeArea;lImprime;nOrden;tObservacion;lCorte;lAtendidoC;fAtendidoC;tUsuarioAtendio
2500054973;1;2;1573;406;1;4;416;24,80620155;4,465116279;2,728682171;0;32;0;0;0;NULL;1;NULL;;NULL;NULL;NULL;NULL
2500054973;1;1;1573;110;1;17;1701;27,13178295;4,88372093;2,984496124;0;35;0;0;0;NULL;1;NULL;;NULL;NULL;NULL;NULL
2500054949;4;2;1897;208;1;6;610;7,751937984;1,395348837;0,852713178;0;10;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054949;4;1;1897;2299;1;14;1410;17,05426357;3,069767442;1,875968992;0;22;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054910;1;2;2695;2157;1;17;1704;7,674418605;1,381395349;0,844186047;0;9,9;0;0;0;NULL;1;NULL;;NULL;NULL;NULL;NULL
2500054910;1;1;2695;2178;1;14;1412;23,17829457;4,172093023;2,549612403;0;29,9;0;0;0;NULL;1;NULL;;NULL;NULL;NULL;NULL
2500054840;2;2;1980;2424;2;17;1702;13,10077519;4,71627907;2,882170543;0;16,9;0;0;0;NULL;1;NULL;;NULL;NULL;NULL;NULL
2500054840;2;1;1980;2418;2;17;1702;13,10077519;4,71627907;2,882170543;0;16,9;0;0;0;NULL;1;NULL;;NULL;NULL;NULL;NULL
2500054819;1;2;1980;2424;2;17;1702;13,10077519;4,71627907;2,882170543;0;16,9;0;0;0;NULL;1;NULL;;NULL;NULL;NULL;NULL
2500054819;1;1;1980;2418;2;17;1702;13,10077519;4,71627907;2,882170543;0;16,9;0;0;0;NULL;1;NULL;;NULL;NULL;NULL;NULL
2500054773;1;2;1898;1969;1;6;609;6,976744186;1,255813953;0,76744186;0;9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054773;1;1;1898;344;1;14;1412;23,95348837;4,311627907;2,634883721;0;30,9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054770;2;2;1898;1837;1;6;609;6,976744186;1,255813953;0,76744186;0;9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054770;2;1;1898;344;1;14;1412;23,95348837;4,311627907;2,634883721;0;30,9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054770;1;2;1898;1915;1;14;1412;19,30232558;3,474418605;2,123255814;0;24,9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054770;1;1;1898;213;1;6;610;6,976744186;1,255813953;0,76744186;0;9;0;0;0;1;1;1;FRIA;NULL;NULL;NULL;NULL
2500054766;1;3;1479;1008;1;18;1807;9,302325581;1,674418605;1,023255814;0;12;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054766;1;2;1479;54;1;17;1706;41,00775194;7,381395349;4,510852713;0;52,9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054766;1;1;1479;468;1;4;416;24,80620155;4,465116279;2,728682171;0;32;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054760;2;6;1898;215;1;6;601;6,976744186;1,255813953;0,76744186;0;9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
